Country,Diversity,Peace-fulness,Info Empowerment,Governance,Health,Food Security,Literacy Scaled,LE Scaled,Income Scaled,Gini Adjusted Income Index
Kuwait,0.518,0.787,0.738,0.64,0.838,0.628,0.95,0.882,0.894,0.931
Kyrgyzstan,0.637,0.677,0.646,0.343,0.67,0.562,0.99,0.724,0.446,0.496
Lao Peoples Demo. Rep.,0.55,0.752,0.37,0.423,0.464,0.475,0.73,0.644,0.446,0.526
Latvia,0.733,0.711,0.863,0.571,0.826,0.644,0.99,0.789,0.727,0.728
Lebanon,0.458,0.538,0.644,0.272,0.768,0.445,0.9,0.806,0.699,0.661
Lesotho,0.721,0.697,0.561,0.587,0.525,0.189,0.82,0.387,0.4,0.37
Liberia,0.44,0.678,0.464,0.391,0.376,0.124,0.58,0.536,0.192,0.212
Libya,0.44,0.643,0.496,0.489,0.704,0.463,0.88,0.843,0.723,0.74
Liechtenstein,0.704,0.922,0.883,0.903,0.872,0.671,0.99,0.934,1,1
Lithuania,0.697,0.802,0.896,0.582,0.843,0.726,0.99,0.806,0.741,0.764
Luxembourg,0.633,0.909,0.968,0.897,0.894,0.792,0.99,0.916,0.954,0.993
Macau China,0.66,0.759,0.892,0.658,0.905,0.582,0.93,0.962,0.877,0.766
Macedonia,0.652,0.728,0.793,0.497,0.795,0.616,0.97,0.827,0.655,0.678
Madagascar,0.573,0.749,0.504,0.4,0.442,0,0.71,0.615,0.329,0.348
Malawi,0.578,0.726,0.525,0.524,0.428,0.361,0.73,0.466,0.305,0.371
Malaysia,0.543,0.768,0.708,0.631,0.803,0.673,0.92,0.817,0.716,0.726
Maldives,0.538,0.683,0.74,0.461,0.714,0.55,0.97,0.808,0.565,0.592
Mali,0.426,0.734,0.417,0.437,0.393,0.498,0.26,0.425,0.353,0.414
Malta,0.576,0.829,0.865,0.751,0.891,0.658,0.92,0.914,0.787,0.868
Isle of Man,0.748,0.793,0.831,0.758,0.859,0.587,0.99,0.905,0.848,0.848
Marshall Islands,0.55,0.815,0.627,0.658,0.678,0.635,0.94,0.733,0.454,0.454
Martinique,0.66,0.778,0.804,0.697,0.794,0.768,0.97,0.91,0.76,0.76
Mauritania,0.45,0.649,0.489,0.348,0.529,0.532,0.57,0.566,0.432,0.497
Mauritius,0.542,0.747,0.71,0.625,0.794,0.582,0.87,0.805,0.699,0.692
Mayotte,0.66,0.7,0.627,0.424,0.747,0.541,0.86,0.857,0.563,0.501
Mexico,0.547,0.57,0.623,0.433,0.739,0.461,0.93,0.854,0.715,0.643
Federated States of Micronesia,0.55,0.796,0.657,0.673,0.74,0.62,0.89,0.733,0.48,0.48
